accuracy,loss,val_accuracy,val_loss
0.6628175377845764,0.8809821605682373,0.8864864706993103,0.4148528277873993
0.8741339445114136,0.373028963804245,0.9459459185600281,0.23034943640232086
0.9272517561912537,0.2480151355266571,0.9729729890823364,0.14970222115516663
0.9584295749664307,0.15057340264320374,0.9729729890823364,0.10567445307970047
0.968822181224823,0.12179272621870041,0.9837837815284729,0.08621219545602798
0.982679009437561,0.08659204840660095,0.9783783555030823,0.07698580622673035
0.9780600666999817,0.08158708363771439,0.9891892075538635,0.06235463544726372
0.9872978925704956,0.06897156685590744,0.9945945739746094,0.052722565829753876
0.9872978925704956,0.051419686526060104,0.9891892075538635,0.04854242876172066
0.991916835308075,0.05047589913010597,0.9945945739746094,0.04543142020702362
0.994226336479187,0.044847521930933,0.9945945739746094,0.04310523718595505
0.994226336479187,0.03394385799765587,0.9945945739746094,0.039795901626348495
0.991916835308075,0.029824120923876762,0.9891892075538635,0.03588910773396492
0.9930716156959534,0.027998939156532288,0.9891892075538635,0.03581486642360687
0.9976905584335327,0.01747588813304901,0.9945945739746094,0.032727401703596115
0.9953810572624207,0.02386346459388733,0.9945945739746094,0.029571767896413803
0.991916835308075,0.02431834489107132,0.9945945739746094,0.0299801267683506
0.9976905584335327,0.019242648035287857,0.9945945739746094,0.025475211441516876
0.994226336479187,0.02402918040752411,0.9945945739746094,0.02661992982029915
0.9953810572624207,0.01611712947487831,0.9945945739746094,0.02352765016257763
