epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3251,0.93579,0.92736,1.06847,0.68118,0.66579,0.68289,0.48725,1.29886,1.32843,1.30696,0.000408497,0.000408497,0.000408497
2,45.9003,0.98264,1.0095,1.07699,0.67005,0.65158,0.66353,0.45576,1.46796,1.49691,1.37169,0.000821079,0.000821079,0.000821079
3,64.4766,1.05621,1.14292,1.10624,0.55265,0.59432,0.60441,0.39582,1.45084,1.64569,1.3659,0.00122954,0.00122954,0.00122954
4,82.9035,1.06631,1.16298,1.11734,0.65757,0.55659,0.61659,0.42006,1.4156,1.66098,1.41714,0.00123144,0.00123144,0.00123144
5,101.305,1.07675,1.15272,1.11942,0.70221,0.57727,0.64397,0.42498,1.50589,1.97292,1.40971,0.00122525,0.00122525,0.00122525
6,119.805,1.14571,1.20836,1.156,0.62846,0.64602,0.62639,0.43062,1.51474,1.71025,1.48785,0.00121906,0.00121906,0.00121906
7,138.27,1.09732,1.18758,1.15067,0.69923,0.61052,0.65617,0.43588,1.58433,1.50015,1.54473,0.00121287,0.00121287,0.00121287
8,156.554,1.13643,1.18434,1.16254,0.62325,0.62919,0.63729,0.42288,1.58296,1.64244,1.48859,0.00120669,0.00120669,0.00120669
9,174.817,1.07259,1.05295,1.12064,0.69201,0.57267,0.62768,0.43028,1.49422,1.6803,1.45204,0.0012005,0.0012005,0.0012005
10,193.24,1.14527,1.156,1.17276,0.6835,0.64923,0.65978,0.42948,1.50175,1.42165,1.39472,0.00119431,0.00119431,0.00119431
11,211.499,1.06953,1.03631,1.10945,0.7029,0.61509,0.65724,0.43591,1.47666,1.46717,1.44005,0.00118812,0.00118812,0.00118812
12,230.026,1.09587,1.03751,1.13986,0.63963,0.65768,0.67103,0.42343,1.54901,1.61862,1.4364,0.00118194,0.00118194,0.00118194
13,255.305,1.06114,1.04368,1.1269,0.62849,0.65024,0.63719,0.42715,1.49502,1.71324,1.46389,0.00117575,0.00117575,0.00117575
14,277.282,1.0946,1.06816,1.14807,0.70488,0.6072,0.63542,0.43185,1.48479,1.5289,1.43239,0.00116956,0.00116956,0.00116956
15,297.378,1.08679,1.04789,1.14475,0.68797,0.61927,0.67295,0.42981,1.46615,1.47371,1.42419,0.00116337,0.00116337,0.00116337
16,317.348,1.05742,1.07099,1.13536,0.67402,0.61519,0.66367,0.44184,1.45039,1.39225,1.41871,0.00115719,0.00115719,0.00115719
17,337.244,1.06675,1.02772,1.11175,0.71195,0.60789,0.65624,0.43924,1.45663,1.56125,1.40089,0.001151,0.001151,0.001151
18,357.084,1.02213,1.01035,1.10998,0.71331,0.65122,0.67403,0.44285,1.57856,1.42978,1.5307,0.00114481,0.00114481,0.00114481
19,376.509,1.04116,0.96421,1.12136,0.65254,0.61996,0.65995,0.43793,1.59425,1.66153,1.50024,0.00113863,0.00113863,0.00113863
20,395.794,1.01225,0.95485,1.07163,0.90585,0.61343,0.68865,0.4666,1.50277,1.4459,1.43482,0.00113244,0.00113244,0.00113244
21,415.039,1.06422,0.99261,1.12975,0.669,0.63245,0.66556,0.4486,1.43361,1.42947,1.36292,0.00112625,0.00112625,0.00112625
22,434.345,1.0746,0.99564,1.10155,0.66556,0.68486,0.68458,0.47342,1.3784,1.39427,1.36785,0.00112006,0.00112006,0.00112006
23,453.616,1.01684,0.92613,1.09367,0.61435,0.68026,0.6802,0.47086,1.40481,1.26473,1.38193,0.00111388,0.00111388,0.00111388
24,472.832,1.04436,0.97184,1.11942,0.70045,0.63227,0.68077,0.4821,1.30865,1.3326,1.32127,0.00110769,0.00110769,0.00110769
25,492.1,1.0363,0.98714,1.10892,0.60272,0.67283,0.66006,0.46461,1.38548,1.34682,1.38001,0.0011015,0.0011015,0.0011015
26,511.682,1.04199,0.95752,1.11136,0.5865,0.66573,0.65537,0.45234,1.31911,1.33263,1.34369,0.00109531,0.00109531,0.00109531
27,531.478,1.06206,0.96799,1.11255,0.70895,0.59536,0.66145,0.46785,1.35753,1.31314,1.34466,0.00108913,0.00108913,0.00108913
28,551.136,1.02847,0.93247,1.09132,0.75261,0.59992,0.66458,0.47902,1.35164,1.39549,1.36124,0.00108294,0.00108294,0.00108294
29,570.702,0.96307,0.91761,1.05035,0.69446,0.67,0.67412,0.47157,1.40563,1.30222,1.36292,0.00107675,0.00107675,0.00107675
30,590.139,0.98408,0.88926,1.07687,0.63498,0.64312,0.66468,0.45583,1.48039,1.52098,1.45116,0.00107056,0.00107056,0.00107056
31,609.487,1.00575,0.92408,1.08692,0.63925,0.73774,0.70107,0.4656,1.42482,1.35327,1.40484,0.00106437,0.00106437,0.00106437
32,628.721,0.9562,0.90695,1.07929,0.67884,0.64763,0.67058,0.45378,1.40109,1.36687,1.35667,0.00105819,0.00105819,0.00105819
33,648.18,1.0058,0.94112,1.10496,0.71192,0.61748,0.6945,0.46486,1.28834,1.29428,1.29505,0.001052,0.001052,0.001052
34,667.598,1.02388,0.94018,1.09607,0.6973,0.71871,0.74077,0.50253,1.31583,1.27588,1.335,0.00104581,0.00104581,0.00104581
35,686.995,0.9811,0.89031,1.07704,0.65818,0.70371,0.6823,0.47387,1.40884,1.40713,1.41841,0.00103962,0.00103962,0.00103962
36,706.578,0.98759,0.92619,1.0778,0.81775,0.62548,0.7057,0.47167,1.38101,1.25968,1.39198,0.00103344,0.00103344,0.00103344
37,726.151,1.01863,0.9269,1.10175,0.78205,0.67797,0.72029,0.495,1.42688,1.27573,1.39642,0.00102725,0.00102725,0.00102725
