epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1468.28,1.19642,1.00685,0.00636,0.68466,0.5786,0.64305,0.43645,1.47052,1.6446,0.01215,0.000825052,0.000825052,0.000825052
43,1503.64,1.14768,0.98707,0.00553,0.62328,0.60159,0.66746,0.44372,1.40541,1.62987,0.01235,0.000814688,0.000814688,0.000814688
44,1539.18,1.1669,0.91029,0.00636,0.61067,0.59246,0.61936,0.43943,1.44008,1.66544,0.0118,0.000804323,0.000804323,0.000804323
45,1574.73,1.16552,0.95522,0.00577,0.65212,0.59744,0.63735,0.4409,1.4518,1.69652,0.01199,0.000793958,0.000793958,0.000793958
46,1610.21,1.2023,1.02458,0.00775,0.61828,0.66298,0.65125,0.43327,1.45427,1.72969,0.01155,0.000783594,0.000783594,0.000783594
47,1645.54,1.17533,0.96044,0.00583,0.67958,0.60065,0.66905,0.43375,1.48105,1.49543,0.01315,0.000773229,0.000773229,0.000773229
48,1681.22,1.17583,0.95176,0.00686,0.62637,0.64581,0.6564,0.42964,1.46,1.5105,0.01174,0.000762865,0.000762865,0.000762865
49,1716.59,1.19328,0.99685,0.00657,0.60909,0.63119,0.63498,0.43256,1.55152,1.49722,0.01281,0.0007525,0.0007525,0.0007525
50,1751.77,1.1607,0.90827,0.00604,0.73064,0.5719,0.64498,0.46193,1.37113,1.49325,0.01149,0.000742135,0.000742135,0.000742135
51,1787.1,1.16542,0.90328,0.0059,0.60712,0.62878,0.65073,0.45066,1.47181,1.61518,0.01263,0.000731771,0.000731771,0.000731771
52,1822.53,1.12879,0.91052,0.00643,0.81803,0.60736,0.69133,0.47764,1.4339,1.58712,0.01208,0.000721406,0.000721406,0.000721406
53,1857.97,1.16182,0.87954,0.00673,0.609,0.63599,0.65263,0.45493,1.39576,1.58316,0.01161,0.000711042,0.000711042,0.000711042
54,1893.57,1.09089,0.82506,0.00582,0.66709,0.63232,0.67005,0.45324,1.44493,1.48391,0.01174,0.000700677,0.000700677,0.000700677
55,1928.84,1.13169,0.92957,0.00584,0.68506,0.66219,0.67847,0.46538,1.44013,1.41898,0.01222,0.000690313,0.000690313,0.000690313
56,1963.93,1.11478,0.87968,0.00572,0.60079,0.69228,0.67925,0.46626,1.39008,1.42476,0.01134,0.000679948,0.000679948,0.000679948
57,1999.13,1.17042,0.92463,0.00606,0.7591,0.54962,0.66164,0.47345,1.42325,1.45426,0.01104,0.000669583,0.000669583,0.000669583
58,2034.22,1.15629,0.91579,0.00685,0.68661,0.58386,0.66583,0.47848,1.38863,1.45353,0.01163,0.000659219,0.000659219,0.000659219
59,2070.05,1.11145,0.86593,0.00592,0.76293,0.64699,0.69917,0.4749,1.42769,1.47557,0.01162,0.000648854,0.000648854,0.000648854
60,2105.59,1.09024,0.81968,0.00587,0.65681,0.65843,0.69161,0.47331,1.31966,1.47236,0.01068,0.00063849,0.00063849,0.00063849
61,2141.21,1.17304,0.88139,0.00615,0.7669,0.65229,0.71914,0.49936,1.33119,1.3139,0.01042,0.000628125,0.000628125,0.000628125
62,2177.07,1.08681,0.8066,0.00523,0.68511,0.64465,0.68175,0.48025,1.3674,1.44878,0.01081,0.00061776,0.00061776,0.00061776
63,2212.52,1.05668,0.74974,0.00582,0.71069,0.65883,0.67014,0.47056,1.36381,1.52412,0.01147,0.000607396,0.000607396,0.000607396
64,2247.85,1.05801,0.80532,0.00531,0.63316,0.68054,0.67903,0.47769,1.46633,1.38343,0.0117,0.000597031,0.000597031,0.000597031
65,2281.49,1.09279,0.82722,0.00551,0.77768,0.6489,0.70995,0.50649,1.33616,1.43872,0.01071,0.000586667,0.000586667,0.000586667
66,2314.92,1.09863,0.79465,0.00578,0.74207,0.62504,0.70221,0.49417,1.32937,1.43454,0.0105,0.000576302,0.000576302,0.000576302
67,2347.69,1.0985,0.77708,0.00531,0.6863,0.68668,0.69479,0.48819,1.35783,1.34367,0.01077,0.000565938,0.000565938,0.000565938
68,2380.62,1.0459,0.76772,0.00569,0.58717,0.73655,0.70236,0.48211,1.3102,1.42753,0.0108,0.000555573,0.000555573,0.000555573
69,2412.88,1.0352,0.758,0.00509,0.73995,0.63154,0.69684,0.49087,1.35561,1.37978,0.01096,0.000545208,0.000545208,0.000545208
70,2445.12,1.04738,0.76007,0.00536,0.65244,0.66984,0.67587,0.48181,1.33789,1.5185,0.01084,0.000534844,0.000534844,0.000534844
71,2477.44,1.01829,0.77867,0.005,0.62477,0.69808,0.67344,0.47208,1.34647,1.35464,0.0109,0.000524479,0.000524479,0.000524479
72,2509.69,0.99943,0.70603,0.00483,0.57237,0.69845,0.65259,0.4734,1.3819,1.3164,0.01148,0.000514115,0.000514115,0.000514115
73,2542.18,0.98711,0.73271,0.00546,0.61176,0.71155,0.68502,0.4873,1.35264,1.33767,0.01127,0.00050375,0.00050375,0.00050375
74,2574.66,0.9975,0.73313,0.00488,0.66752,0.67338,0.69964,0.48389,1.32891,1.41214,0.01075,0.000493385,0.000493385,0.000493385
75,2607.52,1.0178,0.7514,0.00527,0.74033,0.64285,0.69575,0.48583,1.34139,1.4228,0.01082,0.000483021,0.000483021,0.000483021
76,2639.94,0.98248,0.69889,0.00512,0.741,0.71415,0.71448,0.51608,1.28565,1.30111,0.01026,0.000472656,0.000472656,0.000472656
77,2672.27,0.98865,0.72808,0.00483,0.7392,0.67731,0.71511,0.51386,1.35102,1.37693,0.01036,0.000462292,0.000462292,0.000462292
78,2704.73,1.01078,0.74366,0.00498,0.69673,0.67601,0.69719,0.49941,1.33085,1.3849,0.00999,0.000451927,0.000451927,0.000451927
79,2737.15,0.95933,0.72106,0.00472,0.62148,0.7294,0.70297,0.51265,1.24177,1.37665,0.00982,0.000441563,0.000441563,0.000441563
80,2769.85,0.94349,0.65838,0.00463,0.61317,0.75786,0.72455,0.52363,1.34747,1.37003,0.01052,0.000431198,0.000431198,0.000431198
81,2802.5,0.93941,0.70509,0.00485,0.72689,0.66955,0.72614,0.51694,1.35216,1.35936,0.01044,0.000420833,0.000420833,0.000420833
82,2835.28,0.95281,0.68291,0.00452,0.65981,0.6718,0.7121,0.50804,1.34148,1.31807,0.01036,0.000410469,0.000410469,0.000410469
83,2867.59,0.95238,0.68703,0.00456,0.68428,0.67169,0.70935,0.51093,1.3256,1.28084,0.01029,0.000400104,0.000400104,0.000400104
84,2900.03,0.95564,0.65756,0.00498,0.77641,0.63983,0.72032,0.5168,1.34152,1.40639,0.01026,0.00038974,0.00038974,0.00038974
85,2932.32,0.92989,0.64158,0.00492,0.67927,0.76155,0.72288,0.50447,1.33906,1.42215,0.01006,0.000379375,0.000379375,0.000379375
86,2964.67,0.97085,0.68013,0.00497,0.69991,0.67198,0.71249,0.51681,1.31715,1.4209,0.01074,0.00036901,0.00036901,0.00036901
87,2997.19,0.89124,0.61557,0.00444,0.70292,0.6871,0.69387,0.5117,1.29286,1.41277,0.0103,0.000358646,0.000358646,0.000358646
88,3029.55,0.92727,0.64499,0.0044,0.69378,0.66849,0.70869,0.51477,1.26892,1.38187,0.00982,0.000348281,0.000348281,0.000348281
89,3062.15,0.89944,0.61462,0.00465,0.74825,0.64621,0.70987,0.52512,1.32489,1.36804,0.01049,0.000337917,0.000337917,0.000337917
90,3094.59,0.89739,0.62817,0.00375,0.85926,0.603,0.72531,0.51826,1.32369,1.32543,0.0103,0.000327552,0.000327552,0.000327552
91,3126.97,0.88654,0.63256,0.00454,0.63729,0.70464,0.73692,0.51351,1.32014,1.29052,0.01069,0.000317187,0.000317187,0.000317187
92,3159.07,0.94436,0.68941,0.00459,0.63405,0.71937,0.72729,0.52261,1.25453,1.33646,0.00967,0.000306823,0.000306823,0.000306823
93,3191.09,0.87738,0.59128,0.00447,0.73966,0.63468,0.71666,0.5146,1.27097,1.29905,0.00993,0.000296458,0.000296458,0.000296458
94,3223.5,0.8706,0.62686,0.00395,0.78938,0.61009,0.7065,0.52657,1.25864,1.35697,0.01024,0.000286094,0.000286094,0.000286094
95,3255.93,0.8833,0.60763,0.00402,0.63513,0.69536,0.71015,0.51498,1.30206,1.35093,0.01041,0.000275729,0.000275729,0.000275729
96,3288.32,0.88769,0.60476,0.00418,0.76231,0.60888,0.70972,0.51558,1.28888,1.38502,0.01035,0.000265365,0.000265365,0.000265365
97,3320.97,0.88759,0.60861,0.00392,0.69754,0.67932,0.70862,0.5224,1.31315,1.42031,0.01012,0.000255,0.000255,0.000255
98,3353.25,0.90386,0.63882,0.00383,0.77417,0.64499,0.71097,0.52753,1.30536,1.37931,0.0097,0.000244635,0.000244635,0.000244635
99,3385.58,0.878,0.58646,0.00439,0.81989,0.64391,0.7257,0.53,1.31514,1.34346,0.00989,0.000234271,0.000234271,0.000234271
100,3417.88,0.86621,0.57083,0.00426,0.73993,0.6497,0.7247,0.53635,1.299,1.35942,0.00995,0.000223906,0.000223906,0.000223906
101,3448.7,0.91478,0.58406,0.00663,0.73195,0.67411,0.70784,0.51862,1.29632,1.40703,0.00949,0.000213542,0.000213542,0.000213542
102,3479.75,0.85052,0.559,0.00581,0.7011,0.68315,0.71956,0.51483,1.31105,1.3386,0.01023,0.000203177,0.000203177,0.000203177
103,3510.4,0.85611,0.55488,0.00582,0.73008,0.67231,0.72537,0.5236,1.32651,1.29859,0.01004,0.000192813,0.000192813,0.000192813
104,3541.13,0.87444,0.56344,0.00656,0.72795,0.67401,0.73349,0.52788,1.2975,1.3528,0.00953,0.000182448,0.000182448,0.000182448
105,3572,0.89037,0.58822,0.00802,0.77243,0.67268,0.72809,0.52551,1.30084,1.30981,0.00937,0.000172083,0.000172083,0.000172083
106,3602.57,0.85978,0.55485,0.00616,0.7689,0.6869,0.73087,0.53267,1.27313,1.31037,0.00946,0.000161719,0.000161719,0.000161719
107,3632.98,0.84777,0.56399,0.00682,0.75866,0.69473,0.73893,0.53743,1.28864,1.31063,0.00963,0.000151354,0.000151354,0.000151354
108,3663.59,0.84049,0.52326,0.00601,0.66688,0.73677,0.72754,0.53642,1.28664,1.33584,0.00965,0.00014099,0.00014099,0.00014099
109,3694.21,0.84982,0.5184,0.00627,0.77992,0.64254,0.72983,0.53281,1.27011,1.3271,0.00982,0.000130625,0.000130625,0.000130625
110,3725.21,0.83697,0.55337,0.00627,0.70834,0.70611,0.74019,0.52887,1.27084,1.31707,0.00955,0.00012026,0.00012026,0.00012026
111,3755.96,0.82194,0.53953,0.00591,0.69032,0.71422,0.73425,0.532,1.25377,1.33231,0.00935,0.000109896,0.000109896,0.000109896
112,3786.89,0.81385,0.54815,0.00663,0.72413,0.67022,0.73236,0.53931,1.25035,1.32716,0.00934,9.95312e-05,9.95312e-05,9.95312e-05
113,3817.7,0.81322,0.5205,0.00529,0.67555,0.7036,0.72737,0.53792,1.23809,1.31407,0.00902,8.91667e-05,8.91667e-05,8.91667e-05
114,3848.4,0.82366,0.52259,0.00609,0.81406,0.61672,0.73014,0.5393,1.24069,1.33157,0.00896,7.88021e-05,7.88021e-05,7.88021e-05
115,3879,0.82815,0.50765,0.00623,0.69385,0.70205,0.72501,0.53678,1.24159,1.33621,0.00916,6.84375e-05,6.84375e-05,6.84375e-05
116,3909.59,0.75128,0.48505,0.00505,0.8289,0.62434,0.72104,0.5433,1.24911,1.33902,0.00916,5.80729e-05,5.80729e-05,5.80729e-05
117,3940.13,0.78247,0.47953,0.00488,0.83806,0.62411,0.71957,0.53605,1.25335,1.34558,0.00924,4.77083e-05,4.77083e-05,4.77083e-05
118,3970.98,0.79878,0.51047,0.00559,0.71785,0.6548,0.71741,0.53683,1.25387,1.3445,0.00924,3.73438e-05,3.73438e-05,3.73438e-05
119,4001.67,0.84764,0.55766,0.0063,0.65899,0.71716,0.71569,0.53936,1.24478,1.34802,0.00923,2.69792e-05,2.69792e-05,2.69792e-05
120,4032.56,0.77055,0.52115,0.00585,0.66929,0.70494,0.7192,0.54025,1.25324,1.34364,0.00921,1.66146e-05,1.66146e-05,1.66146e-05
