epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1186.13,1.27086,1.41105,0.00679,0.67062,0.50958,0.60881,0.43542,1.41321,1.59207,0.01182,0.000996313,0.000996313,0.000996313
43,1212.8,1.27146,1.36042,0.00671,0.6127,0.61269,0.65117,0.45772,1.33036,1.51103,0.011,0.000990125,0.000990125,0.000990125
44,1245.05,1.23219,1.34488,0.00666,0.65016,0.56714,0.63156,0.42644,1.41498,1.51852,0.01173,0.000983938,0.000983938,0.000983938
45,1272.25,1.22357,1.40363,0.00731,0.67014,0.53297,0.62381,0.41841,1.43504,1.54304,0.01329,0.00097775,0.00097775,0.00097775
46,1298.3,1.21544,1.32129,0.00652,0.67192,0.55643,0.64966,0.43759,1.40319,1.5773,0.01165,0.000971562,0.000971562,0.000971562
47,1330.2,1.20294,1.33335,0.00625,0.58666,0.65963,0.6516,0.43028,1.41855,1.57029,0.01158,0.000965375,0.000965375,0.000965375
48,1358.38,1.22658,1.31688,0.0069,0.6726,0.5731,0.62027,0.43333,1.36621,1.60419,0.01152,0.000959187,0.000959187,0.000959187
49,1391.35,1.22051,1.25868,0.00647,0.6009,0.57999,0.59904,0.41769,1.45488,1.61079,0.01192,0.000953,0.000953,0.000953
50,1419.14,1.24662,1.29447,0.00727,0.62136,0.60895,0.6301,0.43266,1.43558,1.43051,0.01188,0.000946812,0.000946812,0.000946812
51,1446.6,1.17122,1.28608,0.00644,0.55586,0.62132,0.62728,0.43741,1.40368,1.56933,0.01182,0.000940625,0.000940625,0.000940625
52,1476.38,1.22355,1.26127,0.0072,0.6405,0.58786,0.63765,0.43793,1.40229,1.59748,0.01114,0.000934438,0.000934438,0.000934438
53,1506.35,1.16946,1.15547,0.0066,0.58338,0.58383,0.61858,0.41966,1.36154,1.6378,0.01107,0.00092825,0.00092825,0.00092825
54,1541.65,1.11992,1.18507,0.00556,0.634,0.57656,0.63918,0.44189,1.32356,1.58012,0.01102,0.000922063,0.000922063,0.000922063
55,1570.28,1.16516,1.2033,0.0065,0.74327,0.55031,0.63328,0.45211,1.30899,1.62579,0.01127,0.000915875,0.000915875,0.000915875
56,1600.81,1.1333,1.16743,0.00588,0.66741,0.57449,0.63316,0.44965,1.32875,1.52549,0.01075,0.000909688,0.000909688,0.000909688
57,1633.6,1.21905,1.28208,0.00701,0.6214,0.59691,0.64897,0.46071,1.35795,1.57193,0.01131,0.0009035,0.0009035,0.0009035
58,1666.46,1.17389,1.17334,0.00673,0.61173,0.59724,0.63191,0.45532,1.31296,1.63023,0.01,0.000897313,0.000897313,0.000897313
59,1696.15,1.19757,1.18605,0.00647,0.60149,0.61647,0.62762,0.45543,1.26709,1.59561,0.01008,0.000891125,0.000891125,0.000891125
60,1723.5,1.14886,1.13728,0.00644,0.65947,0.6191,0.64408,0.46094,1.32433,1.54048,0.01007,0.000884938,0.000884938,0.000884938
61,1757.46,1.16392,1.18793,0.00613,0.72386,0.6203,0.67712,0.48389,1.30927,1.48132,0.01016,0.00087875,0.00087875,0.00087875
62,1786.33,1.18806,1.1808,0.00661,0.65501,0.60904,0.64458,0.45388,1.32005,1.49314,0.01155,0.000872563,0.000872563,0.000872563
63,1813.76,1.14266,1.14622,0.0064,0.69548,0.58481,0.65365,0.43476,1.32412,1.54194,0.0106,0.000866375,0.000866375,0.000866375
64,1845.38,1.18327,1.10955,0.00642,0.66312,0.62605,0.6595,0.46497,1.41382,1.47176,0.01147,0.000860188,0.000860188,0.000860188
65,1873.69,1.16755,1.04577,0.00566,0.60641,0.62839,0.65167,0.47233,1.33951,1.47051,0.01071,0.000854,0.000854,0.000854
66,1902.73,1.16893,1.115,0.0062,0.63489,0.61505,0.66315,0.45427,1.3436,1.52843,0.01093,0.000847813,0.000847813,0.000847813
67,1934.54,1.1745,1.12491,0.00609,0.68798,0.59096,0.66395,0.46335,1.29325,1.52118,0.01041,0.000841625,0.000841625,0.000841625
68,1968.61,1.13005,1.17117,0.00593,0.60818,0.67285,0.67511,0.47198,1.31386,1.48438,0.00973,0.000835438,0.000835438,0.000835438
69,2000.17,1.15401,1.10569,0.00568,0.62511,0.68497,0.68374,0.48865,1.27474,1.47155,0.00982,0.00082925,0.00082925,0.00082925
70,2033.61,1.13886,1.09294,0.00595,0.69942,0.58032,0.67166,0.46588,1.29291,1.51283,0.01038,0.000823063,0.000823063,0.000823063
71,2067.33,1.11055,1.08809,0.00598,0.6809,0.61696,0.66274,0.46844,1.20389,1.55975,0.00949,0.000816875,0.000816875,0.000816875
72,2099.24,1.10074,1.02942,0.00592,0.7144,0.65245,0.68781,0.47137,1.22294,1.49308,0.01015,0.000810688,0.000810688,0.000810688
73,2131.01,1.1364,1.09184,0.00694,0.77747,0.62763,0.70246,0.46959,1.3103,1.38265,0.00966,0.0008045,0.0008045,0.0008045
74,2162.67,1.13052,1.04932,0.00548,0.67423,0.67518,0.68087,0.4639,1.31369,1.47102,0.01089,0.000798313,0.000798313,0.000798313
75,2196.03,1.18069,1.11353,0.00588,0.6395,0.6381,0.6664,0.44672,1.27706,1.49909,0.01024,0.000792125,0.000792125,0.000792125
76,2227.82,1.10426,1.02786,0.00559,0.67173,0.66524,0.68338,0.47214,1.29384,1.42982,0.01026,0.000785938,0.000785938,0.000785938
77,2259.69,1.10458,1.03792,0.00571,0.81357,0.57052,0.69483,0.4821,1.35546,1.35521,0.01088,0.00077975,0.00077975,0.00077975
78,2291.35,1.10638,1.00268,0.0053,0.6849,0.6878,0.70028,0.50038,1.3024,1.33623,0.01015,0.000773563,0.000773563,0.000773563
79,2323.12,1.10448,0.94107,0.00626,0.73918,0.61956,0.68749,0.49445,1.32815,1.34041,0.00943,0.000767375,0.000767375,0.000767375
80,2354.9,1.09993,1.02126,0.00562,0.70353,0.65889,0.68954,0.48,1.33121,1.36119,0.01012,0.000761188,0.000761188,0.000761188
81,2386.96,1.11567,1.05265,0.00578,0.62174,0.63706,0.66104,0.47596,1.3174,1.42148,0.0099,0.000755,0.000755,0.000755
82,2418.66,1.09381,0.98927,0.0056,0.69952,0.6445,0.67762,0.49461,1.32075,1.36738,0.01008,0.000748813,0.000748813,0.000748813
83,2450.16,1.14522,0.99564,0.00598,0.65199,0.62664,0.6733,0.49162,1.2681,1.41385,0.00991,0.000742625,0.000742625,0.000742625
84,2479.16,1.13136,0.9854,0.00531,0.64737,0.6639,0.67531,0.48715,1.31921,1.45289,0.01032,0.000736438,0.000736438,0.000736438
85,2502.73,1.13899,1.00432,0.00565,0.72823,0.63237,0.68239,0.4935,1.30582,1.40881,0.01012,0.00073025,0.00073025,0.00073025
